tier,id,category,question,grading_notes,must_contain,must_contain_any,must_not_contain,require_no_sources
smoke,smoke-01,Prerequisites,Can I take COMP 3000 without COMP 2401?,Must state COMP 2401 is a prerequisite for COMP 3000 before taking COMP 3000.,COMP 2401|prerequisite,,,
smoke,smoke-02,Registration,How do I drop COMP 2402?,"Must explain how to drop via Carleton Central registration. May mention deadlines but must not give only course metadata or a generic course description without registration steps.",,Carleton Central|registration|drop,,
smoke,smoke-03,Regulations,When does the first Academic Continuation Evaluation (ACE) happen?,Must state the first ACE is made once 5.5 or more credits have been completed (and final grades for that term are available).,,5.5|ACE|Academic Continuation,,
smoke,smoke-04,Deadlines,Last day to withdraw from a fall course?,"Must give the Fall academic withdrawal deadline (approximately November 15, 2026 for full fall courses) or clearly state the fall withdrawal date from context.",,withdraw|November|Nov,,
smoke,smoke-05,Programs,How many credits to graduate?,Must ask which program the student is in or explain that requirements vary by program instead of guessing a single number.,,,,
smoke,smoke-06,Schedule,Who teaches SYSC 3110 in Fall 2026?,Must identify Safaa Bedawi as an instructor for SYSC 3110 in Fall 2026.,Safaa Bedawi,,ratemyprofessors|professor ratings,
smoke,smoke-07,Edge Cases,What is COMP 9999?,Must state the course is not found / outside current knowledge and must not invent a real description for COMP 9999.,,,,yes
smoke,smoke-08,Regulations,What's a B- worth at Carleton?,Must state B- is worth 7 grade points on Carleton's 12-point scale (or equivalent accurate grading scale answer).,B-,7|12-point|12 point,,
smoke,smoke-09,Regulations,How many times can an Engineering student attempt a course at Carleton?,Must state Engineering students may attempt a course no more than three times.,,three|3|attempt,,
smoke,smoke-10,Registration,What is the difference between dropping a course and withdrawing from it?,"Must explain drop vs withdraw distinction (e.g. refund/timing/transcript notation differences) using Carleton policy concepts.",,drop|withdraw|WDN|refund,,
core,core-01,Course Lookups,What is COMP 1005 about and what are its prerequisites?,Should describe intro CS/programming content and list prerequisites accurately from calendar.,COMP 1005,,,
core,core-02,Course Lookups,How many credits is BUSI 2501?,Must state 0.5 credits.,0.5,,,
core,core-03,Course Lookups,Can I take MATH 2007 without taking MATH 1007 first?,Must say no — MATH 1007 (or equivalent) is required first.,,MATH 1007|no|not,,
core,core-04,Program Requirements,What are the required courses for Computer Science B.C.S. Honours?,Should list core COMP/MATH/STAT style requirements or program structure accurately.,,Computer Science|COMP|MATH,,
core,core-05,Program Requirements,How many credits do I need to graduate with a B.Com. Honours?,Must state approximately 20.0 credits for B.Com. Honours (or accurate equivalent).,20,,,
core,core-06,Academic Regulations,What happens if I fail a required course?,Must explain must repeat required course; recent grade counts or equivalent regulation.,,repeat|required|fail,,
core,core-07,Academic Regulations,What is the grade point value of a B+ at Carleton?,Must state B+ = 9.0 on 12-point scale.,B+,9,,
core,core-08,Registration Procedures,How do I add a course after the first week of classes?,Must mention Carleton Central registration and add deadline/override concepts as appropriate.,,Carleton Central|add,,
core,core-09,Registration Procedures,How do I get a registration override?,Must explain registration override request process at Carleton.,,override|Registration,,
core,core-10,Deadlines,What is the last day to drop a full fall course without academic notation?,Must give late September / approximately September 30 style fall drop deadline.,,drop|September|Sept,,
core,core-11,Deadlines,When do Fall 2026 final exams start?,Must give early December 2026 exam period timing.,,exam|December|Dec,,
core,core-12,Services,How do I apply for co-op at Carleton?,Should reference co-op office/process and CGPA or eligibility requirements.,,co-op|coop,,
core,core-13,Edge Cases,Is Professor Smith a good prof?,Must decline professor quality/ratings question and not pretend to have ratings.,,ratemyprofessors|don't have|do not have|ratings|outside,,
core,core-14,Edge Cases,Can I take COMP 4000 in my first year?,Must say no or explain 4000-level courses require substantial prior COMP prerequisites.,,no|4000|prerequisite|third|fourth|year,,
core,core-15,Edge Cases,What is the GPA equivalent of a B- on a 4.0 scale?,Should clarify Carleton uses 12-point scale and B- = 7.0 (not silently convert to 4.0 without clarification).,,12-point|12 point|7,,
core,core-16,Edge Cases,What happens to my CGPA if I get an EX grade?,Must state EX does not affect CGPA (exempt grade).,,EX|not affect|does not affect|doesn't affect,,
core,core-17,Schedule,Is SYSC 3110 open in Fall 2026?,Must answer about open/closed/availability status for SYSC 3110 Fall 2026 from schedule context.,SYSC 3110,,outside of what i currently know,
core,core-18,Schedule,What time is SYSC 2004 offered in Fall 2026?,Must provide meeting time or schedule details for SYSC 2004 Fall 2026.,SYSC 2004,,outside of what i currently know,
core,core-19,Programs,What courses are required for the Minor in Business?,Should list core BUSI minor requirements or accurate program summary.,,Minor in Business|BUSI,,
core,core-20,Regulations,How does the academic continuation evaluation (ACE) work?,Should explain term-by-term ACE assessment and standing outcomes (Good Standing etc.).,,ACE|continuation|Good Standing,,
core,core-21,Registration,How do I appeal a grade at Carleton?,Must describe informal then formal grade appeal process at Carleton.,,appeal|grade,,
core,core-22,Deadlines,When is the fall 2026 payment deadline?,Must give approximately August 25 2026 or accurate payment deadline.,,payment|August|Aug,,
